lane,declared_status,worker_entrypoint,fixture_mode,dependency_restart_marker_contract_checked,shard_count,worker_subprocesses_exercised,gpu_assignment_contract,resume_reused_validated_output,output_zip_valid,output_zip_sha256,passed,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
cifar_10k_features,READY_AFTER_10K_GENERATION,certgen.icml2027.notebook_runtime.run_authenticated_lane,True,True,4,True,True,True,True,b3fb0484453c86457427033f6663d1aa7b00a0a79e7eb4a729bfa0e2990c7081,True,True,True,True,False
cifar_10k_generation,READY_AFTER_LEGACY_PREFLIGHT,certgen.icml2027.notebook_runtime.run_authenticated_lane,True,True,4,True,True,True,True,3ba76f9f10fde4ca253ed7de8543d7f8c06d68b4e801f06599eaaa8b6005a1ad,True,True,True,True,False
cifar_cross_family_preflight,BLOCKED_EXTERNAL_SOURCE_VERIFICATION,certgen.icml2027.notebook_runtime.run_authenticated_lane,True,True,4,True,True,True,True,d01446e5d63eccedd2a3112634d7c35bb2d731393c1ef31832ad5daccb226bfa,True,True,True,True,False
dinov2_features,READY_AFTER_DINOV2_PREFLIGHT,certgen.icml2027.notebook_runtime.run_authenticated_lane,True,True,4,True,True,True,True,4fdb5374e4e53fa0d688cb2ab79dbd1b7c9845a73ffb19192280024b95e65a9a,True,True,True,True,False
dinov2_preflight,READY_AFTER_PRIVATE_ASSET,certgen.icml2027.notebook_runtime.run_authenticated_lane,True,True,4,True,True,True,True,b0f29a24d0f3f89bb1796db86e9cb64ef9579e8432f129373273a0a94d0474c0,True,True,True,True,False
released_sample_features,READY_AFTER_RELEASED_SAMPLE_IMPORT,certgen.icml2027.notebook_runtime.run_authenticated_lane,True,True,4,True,True,True,True,337e8bb14e4a00abb3e9049f91b9cd9c628c45a6a9b89c3bfe5b9b8539ad861d,True,True,True,True,False
