artifact_type,path,exists,size_bytes,sha256,classification,claim_allowed
cifar_source_archive,data/sources/cifar-10-python.tar.gz,true,170498071,6d958be074577803d12ecdefd02955f39262c83c16fe9348329d7fe0b5c001ce,local_only_raw_input,false
reference_manifest,registry/manifests/cvpr/cifar10_reference.jsonl,true,7640000,52a5a2789fe4be487b141b35b055d8b63b21407698f7638f4a044ce93fbd02ee,small_manifest,false
frozen_study,artifacts/cvpr/study/cifar_integrity_minimal.yaml,true,5255,346f0bea70d94803bd9da2793153496a6b0c1fe839174e8d2049773f5bfcc5ae,small_frozen_metadata,false
reference_draw,registry/manifests/cvpr/reference_draw_plan.json,true,736264,27bc56310998dd14fbf06fd096c432f1c21fe2389466a52383df8265468bff6f,small_frozen_metadata,false
diagnostic_input,artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip,true,577593,6e5b22cd6ddce4155e762b6d2afa8fc3299fecd524cc10ac3c3de678c1ff8057,small_safe_static_bundle,false
preflight_input,artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip,true,585555,879f95c1867be7bc800b30f6e8ce67e61bde4510b83866e568deeb01cc5eb4af,small_safe_static_bundle,false
scale_plan,artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/scale_plan.json,true,5167,2a1acf9f5c1b3c5a2176805e6675d7a20876cc9095f31ac10328309be977907b,small_frozen_metadata,false
sensitivity_registry,artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/sensitivity_registry.json,true,2249,66c8fb02295e6fb21b427ae10faff354982991a8711f965b5c8669fdbecdabb0,small_frozen_metadata,false
release_archive,dist/certgen_execution_pass_20260721_final.zip,true,1107103,3c49dc1debefc6f985e1f006b12c7059973ce2d6381645106d9d1de038bdd4f7,ignored_generated_release,false
