sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
50,replay,python3 -m certgen replay plan --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-21T19:07:09.717704Z,2026-07-21T19:07:09.854741Z,0.136926,0,reports/universal_kaggle_command_logs/0050_replay.stdout.log,reports/universal_kaggle_command_logs/0050_replay.stderr.log,PASS,artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/replay,,
51,replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-21T19:07:09.933234Z,2026-07-21T19:07:10.055685Z,0.122315,0,reports/universal_kaggle_command_logs/0051_replay.stdout.log,reports/universal_kaggle_command_logs/0051_replay.stderr.log,PASS,,artifacts/max_ceiling/b6882b9e1be0b9f12868c47be44c0f41a522ed45c7a4529ceabd08f38cc991aa/replay,
52,notebook-validation,python3 -m certgen notebooks validate --json,.,2026-07-21T19:07:17.661301Z,2026-07-21T19:07:17.798220Z,0.136808,0,reports/universal_kaggle_command_logs/0052_notebook-validation.stdout.log,reports/universal_kaggle_command_logs/0052_notebook-validation.stderr.log,PASS,,,
53,notebook-determinism,python3 -m certgen notebooks check-determinism --json,.,2026-07-21T19:07:17.908055Z,2026-07-21T19:07:18.036963Z,0.128756,0,reports/universal_kaggle_command_logs/0053_notebook-determinism.stdout.log,reports/universal_kaggle_command_logs/0053_notebook-determinism.stderr.log,PASS,,,
54,notebook-static-audit,python3 -m certgen audit notebooks --json,.,2026-07-21T19:07:18.108707Z,2026-07-21T19:07:18.248377Z,0.139528,0,reports/universal_kaggle_command_logs/0054_notebook-static-audit.stdout.log,reports/universal_kaggle_command_logs/0054_notebook-static-audit.stderr.log,PASS,,,
55,security-tests,python3 -m pytest -q tests/test_universal_kaggle_discovery.py::test_archive_traversal_symlink_case_collision_and_limits_are_rejected tests/test_universal_kaggle_discovery.py::test_depth_and_candidate_limits_are_enforced tests/test_engineering_evidence_safety.py,.,2026-07-21T19:07:18.325038Z,2026-07-21T19:07:19.749818Z,1.424631,0,reports/universal_kaggle_command_logs/0055_security-tests.stdout.log,reports/universal_kaggle_command_logs/0055_security-tests.stderr.log,PASS,,,
56,paper-firewall,python3 -m certgen audit paper --json,.,2026-07-21T19:07:57.787828Z,2026-07-21T19:07:57.920748Z,0.132813,0,reports/universal_kaggle_command_logs/0056_paper-firewall.stdout.log,reports/universal_kaggle_command_logs/0056_paper-firewall.stderr.log,PASS,,,
57,privacy-scan,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; import json; issues=scan_privacy(); print(json.dumps({""passed"": not issues, ""issues"": issues, ""claim_allowed"": False}, indent=2)); raise SystemExit(bool(issues))'",.,2026-07-21T19:07:58.021525Z,2026-07-21T19:07:58.084373Z,0.062733,0,reports/universal_kaggle_command_logs/0057_privacy-scan.stdout.log,reports/universal_kaggle_command_logs/0057_privacy-scan.stderr.log,PASS,,,
58,secrets-scan,"python3 -c 'from scripts.generate_execution_reports import secret_scan; import json; findings=secret_scan(); print(json.dumps({""passed"": not findings, ""findings"": findings, ""claim_allowed"": False}, indent=2)); raise SystemExit(bool(findings))'",.,2026-07-21T19:07:58.163564Z,2026-07-21T19:07:58.287861Z,0.124165,0,reports/universal_kaggle_command_logs/0058_secrets-scan.stdout.log,reports/universal_kaggle_command_logs/0058_secrets-scan.stderr.log,PASS,,,
59,large-restricted-asset-scan,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; import json; rows, blockers=large_file_audit(); restricted=[row for row in rows if row[""classification""]==""restricted_model_asset"" and row[""tracked""]==""true""]; payload={""passed"": not blockers and not restricted, ""large_file_rows"": len(rows), ""blockers"": blockers, ""tracked_restricted_assets"": restricted, ""claim_allowed"": False}; print(json.dumps(payload, indent=2)); raise SystemExit(not payload[""passed""])'",.,2026-07-21T19:07:58.374209Z,2026-07-21T19:07:58.770023Z,0.395697,0,reports/universal_kaggle_command_logs/0059_large-restricted-asset-scan.stdout.log,reports/universal_kaggle_command_logs/0059_large-restricted-asset-scan.stderr.log,PASS,reports/CERTGEN_GIT_LARGE_FILE_AUDIT.csv,,
60,release-scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-07-21T19:07:58.840482Z,2026-07-21T19:07:58.934874Z,0.094245,0,reports/universal_kaggle_command_logs/0060_release-scan.stdout.log,reports/universal_kaggle_command_logs/0060_release-scan.stderr.log,PASS,,,
61,static-verification-final,python3 -m compileall -q certgen scripts tests,.,2026-07-21T19:08:14.663903Z,2026-07-21T19:08:14.734906Z,0.070835,0,reports/universal_kaggle_command_logs/0061_static-verification-final.stdout.log,reports/universal_kaggle_command_logs/0061_static-verification-final.stderr.log,PASS,,,
62,import-smoke,python3 -c 'import certgen; import certgen.discovery; import certgen.discovery.audit; import certgen.notebooks.environment_bootstrap; print(certgen.__version__)',.,2026-07-21T19:08:14.843539Z,2026-07-21T19:08:14.961590Z,0.117933,0,reports/universal_kaggle_command_logs/0062_import-smoke.stdout.log,reports/universal_kaggle_command_logs/0062_import-smoke.stderr.log,PASS,,,
63,ruff-final,python3 -m ruff check certgen scripts tests,.,2026-07-21T19:08:15.047522Z,2026-07-21T19:08:15.107771Z,0.060112,0,reports/universal_kaggle_command_logs/0063_ruff-final.stdout.log,reports/universal_kaggle_command_logs/0063_ruff-final.stderr.log,PASS,,,
64,changed-code-mypy-final,python3 -m mypy --follow-imports=skip certgen/discovery certgen/notebooks/environment_bootstrap.py certgen/notebooks/kaggle_io.py certgen/notebooks/final_zip.py certgen/notebooks/cvpr_factory.py certgen/phase1/audit.py certgen/phase1/kaggle.py certgen/phase1/notebooks.py certgen/cvpr/prepare.py certgen/notebooks/workers/feature_worker.py certgen/pipeline/cifar10_real_pilot.py scripts/run_all_available_cpu_stages.py scripts/generate_universal_kaggle_reports.py scripts/universal_kaggle_command_runner.py tests/test_universal_kaggle_discovery.py,.,2026-07-21T19:08:15.184316Z,2026-07-21T19:08:15.328456Z,0.143998,0,reports/universal_kaggle_command_logs/0064_changed-code-mypy-final.stdout.log,reports/universal_kaggle_command_logs/0064_changed-code-mypy-final.stderr.log,PASS,,,
65,full-mypy-debt,python3 -m mypy certgen scripts,.,2026-07-21T19:08:21.691380Z,2026-07-21T19:08:35.633032Z,13.941547,1,reports/universal_kaggle_command_logs/0065_full-mypy-debt.stdout.log,reports/universal_kaggle_command_logs/0065_full-mypy-debt.stderr.log,EXPECTED_BOUNDARY,,,
66,bundle-build-final,python3 -m certgen kaggle build-input --stage diagnostic --json,.,2026-07-21T19:09:28.796618Z,2026-07-21T19:09:29.020204Z,0.223480,0,reports/universal_kaggle_command_logs/0066_bundle-build-final.stdout.log,reports/universal_kaggle_command_logs/0066_bundle-build-final.stderr.log,PASS,artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip,,
