sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
79,final_notebook_static,python3 -m certgen audit notebooks --json,.,2026-07-22T04:25:23.701079Z,2026-07-22T04:25:23.832722Z,0.131895,0,reports/final_execution_path_command_logs/0079_final_notebook_static.stdout.log,reports/final_execution_path_command_logs/0079_final_notebook_static.stderr.log,PASS,,,
80,final_bundle_validation,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-07-22T04:25:23.918624Z,2026-07-22T04:25:24.087288Z,0.168922,0,reports/final_execution_path_command_logs/0080_final_bundle_validation.stdout.log,reports/final_execution_path_command_logs/0080_final_bundle_validation.stderr.log,PASS,,,
81,final_bundle_validation,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-07-22T04:25:24.174683Z,2026-07-22T04:25:24.357262Z,0.182865,0,reports/final_execution_path_command_logs/0081_final_bundle_validation.stdout.log,reports/final_execution_path_command_logs/0081_final_bundle_validation.stderr.log,PASS,,,
82,final_provenance,python3 -m certgen provenance verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-22T04:25:24.448124Z,2026-07-22T04:25:24.598523Z,0.150651,0,reports/final_execution_path_command_logs/0082_final_provenance.stdout.log,reports/final_execution_path_command_logs/0082_final_provenance.stderr.log,PASS,,,
83,final_replay,python3 -m certgen replay verify --study artifacts/cvpr/study/cifar_integrity_minimal.yaml,.,2026-07-22T04:25:24.696385Z,2026-07-22T04:25:24.894960Z,0.199054,0,reports/final_execution_path_command_logs/0083_final_replay.stdout.log,reports/final_execution_path_command_logs/0083_final_replay.stderr.log,PASS,,,
84,final_paper_firewall,python3 -m certgen audit paper --json,.,2026-07-22T04:25:25.049097Z,2026-07-22T04:25:25.263133Z,0.214214,0,reports/final_execution_path_command_logs/0084_final_paper_firewall.stdout.log,reports/final_execution_path_command_logs/0084_final_paper_firewall.stderr.log,PASS,,,
85,final_privacy,"python3 -c 'from certgen.release.privacy_scan import scan_privacy; issues=scan_privacy(); print({""passed"":not issues,""issues"":issues,""claim_allowed"":False}); raise SystemExit(bool(issues))'",.,2026-07-22T04:25:46.574335Z,2026-07-22T04:25:46.635619Z,0.061541,0,reports/final_execution_path_command_logs/0085_final_privacy.stdout.log,reports/final_execution_path_command_logs/0085_final_privacy.stderr.log,PASS,,,
86,final_secrets,"python3 -c 'from scripts.generate_execution_reports import secret_scan; findings=secret_scan(); print({""passed"":not findings,""findings"":findings,""claim_allowed"":False}); raise SystemExit(bool(findings))'",.,2026-07-22T04:25:46.732292Z,2026-07-22T04:25:46.895075Z,0.163025,0,reports/final_execution_path_command_logs/0086_final_secrets.stdout.log,reports/final_execution_path_command_logs/0086_final_secrets.stderr.log,PASS,,,
87,final_restricted_large,"python3 -c 'from scripts.generate_execution_reports import large_file_audit; rows,blockers=large_file_audit(); restricted=[r for r in rows if r[""classification""]==""restricted_model_asset"" and r[""tracked""]==""true""]; print({""passed"":not blockers and not restricted,""blockers"":blockers,""restricted"":restricted,""claim_allowed"":False}); raise SystemExit(bool(blockers or restricted))'",.,2026-07-22T04:25:46.982457Z,2026-07-22T04:25:47.450834Z,0.468606,0,reports/final_execution_path_command_logs/0087_final_restricted_large.stdout.log,reports/final_execution_path_command_logs/0087_final_restricted_large.stderr.log,PASS,,,
88,final_release_scan,python3 -m certgen.cli.run_release_safety_scan,.,2026-07-22T04:25:47.528391Z,2026-07-22T04:25:47.633237Z,0.105076,0,reports/final_execution_path_command_logs/0088_final_release_scan.stdout.log,reports/final_execution_path_command_logs/0088_final_release_scan.stderr.log,PASS,,,
89,final_ruff,python3 -m ruff check certgen scripts tests,.,2026-07-22T04:25:47.714837Z,2026-07-22T04:25:47.821640Z,0.106965,1,reports/final_execution_path_command_logs/0089_final_ruff.stdout.log,reports/final_execution_path_command_logs/0089_final_ruff.stderr.log,FAIL,,,
90,final_ruff_rerun,python3 -m ruff check certgen scripts tests,.,2026-07-22T04:26:15.568596Z,2026-07-22T04:26:15.626414Z,0.057967,0,reports/final_execution_path_command_logs/0090_final_ruff_rerun.stdout.log,reports/final_execution_path_command_logs/0090_final_ruff_rerun.stderr.log,PASS,,,
91,final_changed_mypy,python3 -m mypy --follow-imports=skip certgen/discovery/models.py certgen/discovery/classify.py certgen/discovery/select.py certgen/discovery/__init__.py certgen/discovery/specialized.py certgen/discovery/expected_output.py certgen/discovery/simulation.py certgen/notebooks/trusted_bootstrap.py certgen/notebooks/environment_bootstrap.py certgen/notebooks/final_zip.py certgen/notebooks/cvpr_factory.py certgen/notebooks/workers/preflight_worker.py certgen/phase1/kaggle.py certgen/phase1/notebooks.py certgen/release/archive.py scripts/run_all_available_cpu_stages.py scripts/generate_final_execution_path_reports.py,.,2026-07-22T04:26:15.722752Z,2026-07-22T04:26:16.017914Z,0.295350,0,reports/final_execution_path_command_logs/0091_final_changed_mypy.stdout.log,reports/final_execution_path_command_logs/0091_final_changed_mypy.stderr.log,PASS,,,
92,final_full_mypy_debt,python3 -m mypy certgen scripts,.,2026-07-22T04:26:30.742550Z,2026-07-22T04:26:39.634380Z,8.892157,1,reports/final_execution_path_command_logs/0092_final_full_mypy_debt.stdout.log,reports/final_execution_path_command_logs/0092_final_full_mypy_debt.stderr.log,EXPECTED_BOUNDARY,,,
93,final_final_pre_run,python3 -m certgen audit final-pre-run --json,.,2026-07-22T04:28:26.845794Z,2026-07-22T04:28:28.044837Z,1.199380,0,reports/final_execution_path_command_logs/0093_final_final_pre_run.stdout.log,reports/final_execution_path_command_logs/0093_final_final_pre_run.stderr.log,PASS,,,
94,final_maximum_ceiling,python3 -m certgen audit maximum-ceiling --json,.,2026-07-22T04:28:28.132808Z,2026-07-22T04:28:30.074451Z,1.942074,0,reports/final_execution_path_command_logs/0094_final_maximum_ceiling.stdout.log,reports/final_execution_path_command_logs/0094_final_maximum_ceiling.stderr.log,PASS,,,
95,final_cpu_execution,python3 -m certgen audit cpu-execution --json,.,2026-07-22T04:28:30.435304Z,2026-07-22T04:28:30.634116Z,0.199103,0,reports/final_execution_path_command_logs/0095_final_cpu_execution.stdout.log,reports/final_execution_path_command_logs/0095_final_cpu_execution.stderr.log,PASS,,,
96,final_kaggle_launch,python3 -m certgen audit kaggle-launch --json,.,2026-07-22T04:28:30.712699Z,2026-07-22T04:28:31.106427Z,0.394496,0,reports/final_execution_path_command_logs/0096_final_kaggle_launch.stdout.log,reports/final_execution_path_command_logs/0096_final_kaggle_launch.stderr.log,PASS,,,
97,final_universal_kaggle,python3 -m certgen audit universal-kaggle --json,.,2026-07-22T04:28:31.191925Z,2026-07-22T04:28:32.040262Z,0.848942,2,reports/final_execution_path_command_logs/0097_final_universal_kaggle.stdout.log,reports/final_execution_path_command_logs/0097_final_universal_kaggle.stderr.log,FAIL,,,
98,quarantine-discovery-regression,python3 -m pytest -q tests/test_universal_kaggle_discovery.py::test_discovery_excludes_quarantined_packages,.,2026-07-22T04:29:34.193906Z,2026-07-22T04:29:35.404717Z,1.211070,0,reports/final_execution_path_command_logs/0098_quarantine-discovery-regression.stdout.log,reports/final_execution_path_command_logs/0098_quarantine-discovery-regression.stderr.log,PASS,,,
99,post-fix-bundle-rebuild,python3 -m certgen kaggle build-input --stage diagnostic --json,.,2026-07-22T04:29:35.494697Z,2026-07-22T04:29:35.680225Z,0.185839,1,reports/final_execution_path_command_logs/0099_post-fix-bundle-rebuild.stdout.log,reports/final_execution_path_command_logs/0099_post-fix-bundle-rebuild.stderr.log,FAIL,,,
100,post-fix-bundle-rebuild-rerun,python3 -m certgen kaggle build-input --stage diagnostic --json,.,2026-07-22T04:30:16.705756Z,2026-07-22T04:30:16.884793Z,0.179289,0,reports/final_execution_path_command_logs/0100_post-fix-bundle-rebuild-rerun.stdout.log,reports/final_execution_path_command_logs/0100_post-fix-bundle-rebuild-rerun.stderr.log,PASS,,,
101,post-fix-bundle-rebuild-rerun,python3 -m certgen kaggle build-input --stage preflight --profile cifar_integrity_minimal --json,.,2026-07-22T04:30:16.963421Z,2026-07-22T04:30:17.165198Z,0.202029,0,reports/final_execution_path_command_logs/0101_post-fix-bundle-rebuild-rerun.stdout.log,reports/final_execution_path_command_logs/0101_post-fix-bundle-rebuild-rerun.stderr.log,PASS,,,
102,post-fix-notebook-binding,python3 -m certgen.notebooks.cvpr_factory,.,2026-07-22T04:30:17.242841Z,2026-07-22T04:30:17.363118Z,0.120467,0,reports/final_execution_path_command_logs/0102_post-fix-notebook-binding.stdout.log,reports/final_execution_path_command_logs/0102_post-fix-notebook-binding.stderr.log,PASS,,,
103,post-fix-notebook-binding,python3 -m certgen notebooks generate --json,.,2026-07-22T04:30:17.435927Z,2026-07-22T04:30:17.615501Z,0.179816,0,reports/final_execution_path_command_logs/0103_post-fix-notebook-binding.stdout.log,reports/final_execution_path_command_logs/0103_post-fix-notebook-binding.stderr.log,PASS,,,
104,post-fix-notebook-determinism,python3 -m certgen notebooks check-determinism --json,.,2026-07-22T04:30:17.688857Z,2026-07-22T04:30:17.879529Z,0.190984,0,reports/final_execution_path_command_logs/0104_post-fix-notebook-determinism.stdout.log,reports/final_execution_path_command_logs/0104_post-fix-notebook-determinism.stderr.log,PASS,,,
105,post-fix-bundle-validation,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-07-22T04:30:17.952979Z,2026-07-22T04:30:18.119729Z,0.167015,0,reports/final_execution_path_command_logs/0105_post-fix-bundle-validation.stdout.log,reports/final_execution_path_command_logs/0105_post-fix-bundle-validation.stderr.log,PASS,,,
106,post-fix-bundle-validation,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-07-22T04:30:18.272452Z,2026-07-22T04:30:18.603592Z,0.331213,0,reports/final_execution_path_command_logs/0106_post-fix-bundle-validation.stdout.log,reports/final_execution_path_command_logs/0106_post-fix-bundle-validation.stderr.log,PASS,,,
107,final_universal_kaggle_rerun,python3 -m certgen audit universal-kaggle --json,.,2026-07-22T04:30:18.758469Z,2026-07-22T04:30:19.715593Z,0.957317,0,reports/final_execution_path_command_logs/0107_final_universal_kaggle_rerun.stdout.log,reports/final_execution_path_command_logs/0107_final_universal_kaggle_rerun.stderr.log,PASS,,,
108,sealed_compileall,python3 -m compileall -q certgen scripts tests,.,2026-07-22T04:31:52.805724Z,2026-07-22T04:31:52.908381Z,0.102822,0,reports/final_execution_path_command_logs/0108_sealed_compileall.stdout.log,reports/final_execution_path_command_logs/0108_sealed_compileall.stderr.log,PASS,,,
109,sealed_imports,python3 -c 'import certgen; import certgen.discovery; import certgen.notebooks.trusted_bootstrap; import certgen.notebooks.environment_bootstrap; print(certgen.__version__)',.,2026-07-22T04:31:52.978841Z,2026-07-22T04:31:53.090691Z,0.112107,0,reports/final_execution_path_command_logs/0109_sealed_imports.stdout.log,reports/final_execution_path_command_logs/0109_sealed_imports.stderr.log,PASS,,,
110,sealed_focused_security,python3 -m pytest -q tests/test_final_execution_path_seal.py tests/test_universal_kaggle_discovery.py tests/test_phase1_closure.py tests/test_final_runtime_hardening.py tests/test_engineering_evidence_safety.py,.,2026-07-22T04:31:53.174038Z,2026-07-22T04:32:01.803067Z,8.629245,0,reports/final_execution_path_command_logs/0110_sealed_focused_security.stdout.log,reports/final_execution_path_command_logs/0110_sealed_focused_security.stderr.log,PASS,,,
111,sealed_integration_audits,python3 -m pytest -q -m integration_audit -o addopts=,.,2026-07-22T04:32:01.885845Z,2026-07-22T04:33:16.821844Z,74.937890,0,reports/final_execution_path_command_logs/0111_sealed_integration_audits.stdout.log,reports/final_execution_path_command_logs/0111_sealed_integration_audits.stderr.log,PASS,,,
112,sealed_notebook_determinism,python3 -m certgen notebooks check-determinism --json,.,2026-07-22T04:33:16.910761Z,2026-07-22T04:33:17.109440Z,0.198939,0,reports/final_execution_path_command_logs/0112_sealed_notebook_determinism.stdout.log,reports/final_execution_path_command_logs/0112_sealed_notebook_determinism.stderr.log,PASS,,,
113,sealed_notebook_static,python3 -m certgen audit notebooks --json,.,2026-07-22T04:33:17.184810Z,2026-07-22T04:33:17.307881Z,0.123320,0,reports/final_execution_path_command_logs/0113_sealed_notebook_static.stdout.log,reports/final_execution_path_command_logs/0113_sealed_notebook_static.stderr.log,PASS,,,
114,sealed_bundle_validation,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip --json,.,2026-07-22T04:33:17.382777Z,2026-07-22T04:33:17.531966Z,0.149610,0,reports/final_execution_path_command_logs/0114_sealed_bundle_validation.stdout.log,reports/final_execution_path_command_logs/0114_sealed_bundle_validation.stderr.log,PASS,,,
115,sealed_bundle_validation,python3 -m certgen kaggle validate-input artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip --json,.,2026-07-22T04:33:17.606921Z,2026-07-22T04:33:17.774214Z,0.167534,0,reports/final_execution_path_command_logs/0115_sealed_bundle_validation.stdout.log,reports/final_execution_path_command_logs/0115_sealed_bundle_validation.stderr.log,PASS,,,
