sequence,stage,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
23,dispatcher_and_path_regressions,python3 -m pytest -q tests/test_controls_repository_paths.py tests/test_final_100_percent_pre_run.py::test_next_action_resolves_registered_draw_for_controls_only_after_generation tests/test_maximum_ceiling.py::test_claim_figure_optional_and_doctor_contracts,.,2026-07-21T09:11:26.437166Z,2026-07-21T09:11:27.307833Z,0.870558,0,reports/execution_command_logs/0023_dispatcher_and_path_regressions.stdout.log,reports/execution_command_logs/0023_dispatcher_and_path_regressions.stderr.log,PASS,,,
24,post_dispatcher_repair_full_pytest,python3 -m pytest -q,.,2026-07-21T09:11:33.368008Z,2026-07-21T09:11:44.047346Z,10.678334,1,reports/execution_command_logs/0024_post_dispatcher_repair_full_pytest.stdout.log,reports/execution_command_logs/0024_post_dispatcher_repair_full_pytest.stderr.log,FAIL,,,
25,v9_audit_regression,python3 -m pytest -q tests/test_v9_execution_supercharger.py::test_v9_final_audit_smoke_passes_without_real_execution,.,2026-07-21T09:12:15.428415Z,2026-07-21T09:12:15.996459Z,0.567929,0,reports/execution_command_logs/0025_v9_audit_regression.stdout.log,reports/execution_command_logs/0025_v9_audit_regression.stderr.log,PASS,,,
26,final_full_pytest,python3 -m pytest -q,.,2026-07-21T09:12:16.068287Z,2026-07-21T09:12:26.676603Z,10.608107,0,reports/execution_command_logs/0026_final_full_pytest.stdout.log,reports/execution_command_logs/0026_final_full_pytest.stderr.log,PASS,,,
27,phase1_ordering_regression,python3 -m pytest -q tests/test_phase1_closure.py,.,2026-07-21T09:12:59.672699Z,2026-07-21T09:13:00.299312Z,0.626512,0,reports/execution_command_logs/0027_phase1_ordering_regression.stdout.log,reports/execution_command_logs/0027_phase1_ordering_regression.stderr.log,PASS,,,
28,quarantine_stale_inputs,sh -c 'mkdir -p artifacts/cvpr/quarantine/stale_inputs/555996a92c69/diagnostic artifacts/cvpr/quarantine/stale_inputs/555996a92c69/preflight && mv artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip artifacts/cvpr/quarantine/stale_inputs/555996a92c69/diagnostic/ && mv artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip.manifest.json artifacts/cvpr/quarantine/stale_inputs/555996a92c69/diagnostic/ && mv artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip.sha256 artifacts/cvpr/quarantine/stale_inputs/555996a92c69/diagnostic/ && mv artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip artifacts/cvpr/quarantine/stale_inputs/555996a92c69/preflight/ && mv artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip.manifest.json artifacts/cvpr/quarantine/stale_inputs/555996a92c69/preflight/ && mv artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip.sha256 artifacts/cvpr/quarantine/stale_inputs/555996a92c69/preflight/',.,2026-07-21T09:13:12.258801Z,2026-07-21T09:13:12.272947Z,0.014048,0,reports/execution_command_logs/0028_quarantine_stale_inputs.stdout.log,reports/execution_command_logs/0028_quarantine_stale_inputs.stderr.log,PASS,artifacts/cvpr/quarantine/stale_inputs/555996a92c69/,valid immutable diagnostic/preflight inputs,
29,cpu_autorun,python3 scripts/run_all_available_cpu_stages.py --resume --explain,.,2026-07-21T09:13:12.341769Z,2026-07-21T09:13:12.610826Z,0.268951,30,reports/execution_command_logs/0029_cpu_autorun.stdout.log,reports/execution_command_logs/0029_cpu_autorun.stderr.log,FAIL,artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip;reports/CERTGEN_PHASE1_AUTORUN_STATUS.json,data/sources/cifar-10-python.tar.gz;registry/manifests/cvpr/cifar10_reference.jsonl;artifacts/cvpr/study/cifar_integrity_minimal.yaml;registry/manifests/cvpr/reference_draw_plan.json,WAITING_FOR_KAGGLE_DIAGNOSTIC
30,blocked_plan_regression,python3 -m pytest -q tests/test_phase1_closure.py tests/test_v6_cpu_kaggle_packaging.py,.,2026-07-21T09:13:26.996207Z,2026-07-21T09:13:27.648872Z,0.652561,0,reports/execution_command_logs/0030_blocked_plan_regression.stdout.log,reports/execution_command_logs/0030_blocked_plan_regression.stderr.log,PASS,,,
31,quarantine_stale_inputs,sh -c 'mkdir -p artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/diagnostic artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/preflight && mv artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/diagnostic/ && mv artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip.manifest.json artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/diagnostic/ && mv artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip.sha256 artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/diagnostic/ && mv artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/preflight/ && mv artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip.manifest.json artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/preflight/ && mv artifacts/cvpr/kaggle_inputs/preflight/certgen_cvpr_preflight_input.zip.sha256 artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/preflight/',.,2026-07-21T09:13:45.141204Z,2026-07-21T09:13:45.153884Z,0.012576,0,reports/execution_command_logs/0031_quarantine_stale_inputs.stdout.log,reports/execution_command_logs/0031_quarantine_stale_inputs.stderr.log,PASS,artifacts/cvpr/quarantine/stale_inputs/03aeb0876618/,valid immutable diagnostic/preflight inputs,
32,cpu_autorun,python3 scripts/run_all_available_cpu_stages.py --resume --explain,.,2026-07-21T09:13:45.223045Z,2026-07-21T09:13:46.314303Z,1.091131,11,reports/execution_command_logs/0032_cpu_autorun.stdout.log,reports/execution_command_logs/0032_cpu_autorun.stderr.log,EXPECTED_BOUNDARY,artifacts/cvpr/kaggle_inputs/diagnostic/certgen_kaggle_environment_diagnostic_input.zip;reports/CERTGEN_PHASE1_AUTORUN_STATUS.json,data/sources/cifar-10-python.tar.gz;registry/manifests/cvpr/cifar10_reference.jsonl;artifacts/cvpr/study/cifar_integrity_minimal.yaml;registry/manifests/cvpr/reference_draw_plan.json,WAITING_FOR_KAGGLE_DIAGNOSTIC
