sequence,stage,command,cwd,start_utc,end_utc,duration_seconds,exit_code,stdout_log,stderr_log,status,artifacts_created,artifacts_reused,blocker
67,audit_kaggle_launch_final,python3 -m certgen audit kaggle-launch --json,.,2026-07-21T09:36:43.043710Z,2026-07-21T09:36:43.318449Z,0.274628,0,reports/execution_command_logs/0067_audit_kaggle_launch_final.stdout.log,reports/execution_command_logs/0067_audit_kaggle_launch_final.stderr.log,PASS,,,
68,audit_cpu_execution_final,python3 -m certgen audit cpu-execution --json,.,2026-07-21T09:36:43.389109Z,2026-07-21T09:36:43.556128Z,0.166913,0,reports/execution_command_logs/0068_audit_cpu_execution_final.stdout.log,reports/execution_command_logs/0068_audit_cpu_execution_final.stderr.log,PASS,,,
69,final_pre_run_audit_after_contract_update,python3 -m certgen audit final-pre-run --json,.,2026-07-21T09:37:25.008351Z,2026-07-21T09:37:26.073996Z,1.065541,0,reports/execution_command_logs/0069_final_pre_run_audit_after_contract_update.stdout.log,reports/execution_command_logs/0069_final_pre_run_audit_after_contract_update.stderr.log,PASS,,,
70,release_archive_build_final,python3 -m certgen release build-archive --out dist/certgen_execution_pass_20260721.zip,.,2026-07-21T09:38:53.088613Z,2026-07-21T09:38:56.320874Z,3.232136,0,reports/execution_command_logs/0070_release_archive_build_final.stdout.log,reports/execution_command_logs/0070_release_archive_build_final.stderr.log,PASS,dist/certgen_execution_pass_20260721.zip and manifest,,
71,paper_compile_pass1,pdflatex -interaction=nonstopmode -halt-on-error main.tex,paper,2026-07-21T09:39:21.632812Z,2026-07-21T09:39:21.781109Z,0.148191,0,reports/execution_command_logs/0071_paper_compile_pass1.stdout.log,reports/execution_command_logs/0071_paper_compile_pass1.stderr.log,PASS,,,
72,paper_compile_pass2,pdflatex -interaction=nonstopmode -halt-on-error main.tex,paper,2026-07-21T09:39:21.851744Z,2026-07-21T09:39:21.955530Z,0.103674,0,reports/execution_command_logs/0072_paper_compile_pass2.stdout.log,reports/execution_command_logs/0072_paper_compile_pass2.stderr.log,PASS,,,
73,cpu_autorun_final_portable_rebuild,python3 scripts/run_all_available_cpu_stages.py --resume --explain,.,2026-07-21T09:41:13.165729Z,2026-07-21T09:41:14.345840Z,1.179995,11,reports/execution_command_logs/0073_cpu_autorun_final_portable_rebuild.stdout.log,reports/execution_command_logs/0073_cpu_autorun_final_portable_rebuild.stderr.log,EXPECTED_BOUNDARY,portable current draw and source-current Kaggle inputs,frozen study and validated CIFAR reference,WAITING_FOR_KAGGLE_DIAGNOSTIC
74,generate_required_execution_reports,python3 scripts/generate_execution_reports.py,.,2026-07-21T09:44:13.472644Z,2026-07-21T09:44:54.100369Z,40.627442,0,reports/execution_command_logs/0074_generate_required_execution_reports.stdout.log,reports/execution_command_logs/0074_generate_required_execution_reports.stderr.log,PASS,"required execution, handoff, scientific-boundary, release, large-file, and GitHub publication reports",,GITHUB_CLI_REQUIRED
75,generate_required_execution_reports_final,python3 scripts/generate_execution_reports.py,.,2026-07-21T09:45:24.208680Z,2026-07-21T09:45:25.056704Z,0.847916,0,reports/execution_command_logs/0075_generate_required_execution_reports_final.stdout.log,reports/execution_command_logs/0075_generate_required_execution_reports_final.stderr.log,PASS,"required execution, handoff, scientific-boundary, release, large-file, and GitHub publication reports",,GITHUB_CLI_REQUIRED
76,compileall_postseal,python3 -m compileall -q certgen scripts tests,.,2026-07-21T09:46:14.034878Z,2026-07-21T09:46:14.118270Z,0.083285,0,reports/execution_command_logs/0076_compileall_postseal.stdout.log,reports/execution_command_logs/0076_compileall_postseal.stderr.log,PASS,,,
77,ruff_postseal,python3 -m ruff check certgen scripts tests,.,2026-07-21T09:46:14.187140Z,2026-07-21T09:46:14.247475Z,0.060233,1,reports/execution_command_logs/0077_ruff_postseal.stdout.log,reports/execution_command_logs/0077_ruff_postseal.stderr.log,FAIL,,,
78,mypy_postseal_changed,python3 -m mypy --no-incremental --follow-imports=skip certgen/audit/cvpr_final_audit.py certgen/audit/final_pre_run_audit.py certgen/cvpr/reference_draw.py certgen/packaging/artifact_registry.py scripts/execution_command_runner.py scripts/generate_execution_reports.py,.,2026-07-21T09:46:14.316379Z,2026-07-21T09:46:15.712359Z,1.395850,0,reports/execution_command_logs/0078_mypy_postseal_changed.stdout.log,reports/execution_command_logs/0078_mypy_postseal_changed.stderr.log,PASS,,,
79,full_pytest_postseal,python3 -m pytest -q,.,2026-07-21T09:46:34.721278Z,2026-07-21T09:46:45.809602Z,11.088164,1,reports/execution_command_logs/0079_full_pytest_postseal.stdout.log,reports/execution_command_logs/0079_full_pytest_postseal.stderr.log,FAIL,,,
80,provenance_current_version_regression,python3 -m pytest -q tests/test_maximum_ceiling.py,.,2026-07-21T09:47:32.868336Z,2026-07-21T09:47:35.141684Z,2.273230,0,reports/execution_command_logs/0080_provenance_current_version_regression.stdout.log,reports/execution_command_logs/0080_provenance_current_version_regression.stderr.log,PASS,,,
81,cpu_autorun_final_source_hash,python3 scripts/run_all_available_cpu_stages.py --resume --explain,.,2026-07-21T09:47:50.154855Z,2026-07-21T09:47:51.327027Z,1.172055,11,reports/execution_command_logs/0081_cpu_autorun_final_source_hash.stdout.log,reports/execution_command_logs/0081_cpu_autorun_final_source_hash.stderr.log,EXPECTED_BOUNDARY,final source-hash-bound diagnostic/preflight inputs,"frozen study, portable draw, validated CIFAR reference",WAITING_FOR_KAGGLE_DIAGNOSTIC
82,full_pytest_final_seal,python3 -m pytest -q,.,2026-07-21T09:47:55.978816Z,2026-07-21T09:48:06.522222Z,10.543252,0,reports/execution_command_logs/0082_full_pytest_final_seal.stdout.log,reports/execution_command_logs/0082_full_pytest_final_seal.stderr.log,PASS,,,
83,integration_audits_final_seal,python3 -m pytest -q -m integration_audit,.,2026-07-21T09:48:13.722870Z,2026-07-21T09:48:58.424258Z,44.701047,1,reports/execution_command_logs/0083_integration_audits_final_seal.stdout.log,reports/execution_command_logs/0083_integration_audits_final_seal.stderr.log,FAIL,,,
84,integration_audits_final_after_paper_cleanup,python3 -m pytest -q -m integration_audit,.,2026-07-21T09:49:46.243844Z,2026-07-21T09:50:30.983362Z,44.739181,0,reports/execution_command_logs/0084_integration_audits_final_after_paper_cleanup.stdout.log,reports/execution_command_logs/0084_integration_audits_final_after_paper_cleanup.stderr.log,PASS,,,
85,ruff_final_seal,python3 -m ruff check certgen scripts tests,.,2026-07-21T09:50:49.330353Z,2026-07-21T09:50:49.386313Z,0.055860,0,reports/execution_command_logs/0085_ruff_final_seal.stdout.log,reports/execution_command_logs/0085_ruff_final_seal.stderr.log,PASS,,,
86,release_archive_final_source,python3 -m certgen release build-archive --out dist/certgen_execution_pass_20260721_final.zip,.,2026-07-21T09:52:19.104926Z,2026-07-21T09:52:22.380518Z,3.275472,0,reports/execution_command_logs/0086_release_archive_final_source.stdout.log,reports/execution_command_logs/0086_release_archive_final_source.stderr.log,PASS,dist/certgen_execution_pass_20260721_final.zip and manifest,,
87,changed_code_mypy_final,python3 -m mypy certgen/max_ceiling/provenance.py certgen/packaging/artifact_registry.py certgen/cvpr/reference_draw.py certgen/audit/cvpr_final_audit.py certgen/audit/final_pre_run_audit.py scripts/execution_command_runner.py scripts/generate_execution_reports.py,.,2026-07-21T09:52:29.373055Z,2026-07-21T09:52:42.819138Z,13.445900,1,reports/execution_command_logs/0087_changed_code_mypy_final.stdout.log,reports/execution_command_logs/0087_changed_code_mypy_final.stderr.log,FAIL,reports/command_ledger.jsonl,,
88,changed_code_mypy_final_retry,python3 -m mypy certgen/core/hashing.py certgen/max_ceiling/provenance.py certgen/packaging/artifact_registry.py certgen/cvpr/reference_draw.py certgen/audit/cvpr_final_audit.py certgen/audit/final_pre_run_audit.py scripts/execution_command_runner.py scripts/generate_execution_reports.py,.,2026-07-21T09:52:58.457784Z,2026-07-21T09:53:05.402846Z,6.944931,0,reports/execution_command_logs/0088_changed_code_mypy_final_retry.stdout.log,reports/execution_command_logs/0088_changed_code_mypy_final_retry.stderr.log,PASS,reports/command_ledger.jsonl,,
89,release_archive_final_source_sealed,python3 -m certgen release build-archive --out dist/certgen_execution_pass_20260721_final.zip,.,2026-07-21T09:53:40.189208Z,2026-07-21T09:53:40.301752Z,0.112441,1,reports/execution_command_logs/0089_release_archive_final_source_sealed.stdout.log,reports/execution_command_logs/0089_release_archive_final_source_sealed.stderr.log,FAIL,dist/certgen_execution_pass_20260721_final.zip and manifest,,
90,release_archive_final_source_sealed_retry,python3 -m certgen release build-archive --out dist/certgen_execution_pass_20260721_final.zip,.,2026-07-21T09:53:54.172340Z,2026-07-21T09:53:57.773878Z,3.601410,1,reports/execution_command_logs/0090_release_archive_final_source_sealed_retry.stdout.log,reports/execution_command_logs/0090_release_archive_final_source_sealed_retry.stderr.log,FAIL,dist/certgen_execution_pass_20260721_final.zip and manifest,,
91,release_archive_final_source_sealed_retry2,python3 -m certgen release build-archive --out dist/certgen_execution_pass_20260721_final.zip,.,2026-07-21T09:54:10.248514Z,2026-07-21T09:54:13.283297Z,3.034663,0,reports/execution_command_logs/0091_release_archive_final_source_sealed_retry2.stdout.log,reports/execution_command_logs/0091_release_archive_final_source_sealed_retry2.stderr.log,PASS,dist/certgen_execution_pass_20260721_final.zip and manifest,,
92,generate_required_execution_reports_release_seal,python3 scripts/generate_execution_reports.py,.,2026-07-21T09:54:20.776967Z,2026-07-21T09:54:21.613536Z,0.836449,0,reports/execution_command_logs/0092_generate_required_execution_reports_release_seal.stdout.log,reports/execution_command_logs/0092_generate_required_execution_reports_release_seal.stderr.log,PASS,required root and reports execution handoff documents,,
93,final_audit_paper,python3 -m certgen audit paper --json,.,2026-07-21T09:54:28.633475Z,2026-07-21T09:54:28.748118Z,0.114535,0,reports/execution_command_logs/0093_final_audit_paper.stdout.log,reports/execution_command_logs/0093_final_audit_paper.stderr.log,PASS,reports/command_ledger.jsonl,,
94,final_audit_artifact_registry,python3 -m certgen audit artifact-registry --json,.,2026-07-21T09:54:28.828859Z,2026-07-21T09:54:28.939628Z,0.110641,0,reports/execution_command_logs/0094_final_audit_artifact_registry.stdout.log,reports/execution_command_logs/0094_final_audit_artifact_registry.stderr.log,PASS,reports/command_ledger.jsonl,,
95,final_audit_registries,python3 -m certgen audit registries --json,.,2026-07-21T09:54:29.018178Z,2026-07-21T09:54:29.146603Z,0.128314,0,reports/execution_command_logs/0095_final_audit_registries.stdout.log,reports/execution_command_logs/0095_final_audit_registries.stderr.log,PASS,reports/command_ledger.jsonl,,
96,final_audit_cvpr,python3 -m certgen audit cvpr --json,.,2026-07-21T09:54:29.226573Z,2026-07-21T09:54:29.408872Z,0.182183,0,reports/execution_command_logs/0096_final_audit_cvpr.stdout.log,reports/execution_command_logs/0096_final_audit_cvpr.stderr.log,PASS,reports/command_ledger.jsonl,,
97,final_audit_final_pre_run,python3 -m certgen audit final-pre-run --json,.,2026-07-21T09:54:29.488387Z,2026-07-21T09:54:30.612040Z,1.123547,0,reports/execution_command_logs/0097_final_audit_final_pre_run.stdout.log,reports/execution_command_logs/0097_final_audit_final_pre_run.stderr.log,PASS,reports/command_ledger.jsonl,,
98,final_audit_maximum_ceiling,python3 -m certgen audit maximum-ceiling --json,.,2026-07-21T09:54:30.708126Z,2026-07-21T09:54:32.180561Z,1.472277,0,reports/execution_command_logs/0098_final_audit_maximum_ceiling.stdout.log,reports/execution_command_logs/0098_final_audit_maximum_ceiling.stderr.log,PASS,reports/command_ledger.jsonl,,
99,final_audit_kaggle_launch,python3 -m certgen audit kaggle-launch --json,.,2026-07-21T09:54:32.262180Z,2026-07-21T09:54:32.535692Z,0.273401,0,reports/execution_command_logs/0099_final_audit_kaggle_launch.stdout.log,reports/execution_command_logs/0099_final_audit_kaggle_launch.stderr.log,PASS,reports/command_ledger.jsonl,,
100,final_audit_cpu_execution,python3 -m certgen audit cpu-execution --json,.,2026-07-21T09:54:32.616922Z,2026-07-21T09:54:32.764573Z,0.147541,0,reports/execution_command_logs/0100_final_audit_cpu_execution.stdout.log,reports/execution_command_logs/0100_final_audit_cpu_execution.stderr.log,PASS,reports/command_ledger.jsonl,,
101,release_archive_final_clean_checkpoint,python3 -m certgen release build-archive --out dist/certgen_execution_pass_20260721_final.zip,.,2026-07-21T17:30:40.311845Z,2026-07-21T17:30:45.049865Z,4.737687,0,reports/execution_command_logs/0101_release_archive_final_clean_checkpoint.stdout.log,reports/execution_command_logs/0101_release_archive_final_clean_checkpoint.stderr.log,PASS,dist/certgen_execution_pass_20260721_final.zip and manifest,,
