scenario,category,stage,mean_difference_norm,covariance_difference_frobenius,feature_norm_mean,feature_norm_std,mmd_difference_estimate,matched_cosine_mean,matched_cosine_std,diagnostic_only,claim_allowed
identical_distribution_null,NULL,before_preprocessing,0.38354504108428955,2.883179901064966,7.969587802886963,0.7123695611953735,-0.011158322776346576,-0.0012052259407937527,0.12297800928354263,True,False
identical_distribution_null,NULL,after_row_l2,0.04787015914916992,0.04452255920658496,1.0,3.7744378289517044e-08,-0.011158322600272363,-0.0012052259407937527,0.12297801673412323,True,False
exact_sample_identical_null,NULL,before_preprocessing,0.0,0.0,7.980550289154053,0.7198681831359863,0.0,1.0,7.574715965574796e-08,True,False
exact_sample_identical_null,NULL,after_row_l2,0.0,0.0,1.0,3.853614316540188e-08,0.0,1.0,6.679976394252662e-08,True,False
tiny_mean_shift,HARD_ALTERNATIVE,before_preprocessing,0.43645232915878296,2.9688355529396278,7.91990327835083,0.7066309452056885,-0.0039413792768172185,-0.0038502293173223734,0.12593302130699158,True,False
tiny_mean_shift,HARD_ALTERNATIVE,after_row_l2,0.05400505289435387,0.0458181909020295,1.0,3.853614316540188e-08,-0.003941379535318077,-0.003850229550153017,0.12593303620815277,True,False
obvious_mean_shift,EASY_ALTERNATIVE,before_preprocessing,40.013370513916016,2.996693444838622,40.80324172973633,1.0139398574829102,-0.5865990880350805,0.002787706907838583,0.12637978792190552,True,False
obvious_mean_shift,EASY_ALTERNATIVE,after_row_l2,0.9799688458442688,0.12453017038897925,1.0,3.797896397372824e-08,-0.5865990879411633,0.0027877073734998703,0.1263798028230667,True,False
near_tie,HARD_ALTERNATIVE,before_preprocessing,0.4270428717136383,2.9631713494234546,7.993903160095215,0.7206118702888489,-0.003217226843636137,-0.00031371688237413764,0.1278165578842163,True,False
near_tie,HARD_ALTERNATIVE,after_row_l2,0.052995942533016205,0.04536197643070324,1.0,3.698371031646275e-08,-0.003217226940956551,-0.000313716649543494,0.1278165578842163,True,False
scale_shift,INVARIANCE_CONTROL,before_preprocessing,0.41035595536231995,7.7684273524371585,10.756755828857422,0.9313615560531616,-0.00933504163918067,-0.0006940634339116514,0.12453227490186691,True,False
scale_shift,INVARIANCE_CONTROL,after_row_l2,0.04134746268391609,0.0439208902758699,1.0,3.5663308750599754e-08,-0.009335041770677384,-0.0006940639577805996,0.12453228235244751,True,False
variance_inflation,INVARIANCE_CONTROL,before_preprocessing,0.5528325438499451,19.343802107417225,14.386385917663574,1.2579847574234009,0.0034584618335167672,0.00028011607355438173,0.1245042011141777,True,False
variance_inflation,INVARIANCE_CONTROL,after_row_l2,0.048319824039936066,0.04462470475180431,1.0,3.640277768113265e-08,0.003458461449440577,0.000280116917565465,0.1245042085647583,True,False
