sequence,phase,command,cwd,start_utc,end_utc,duration_seconds,exit_code,status,stdout_log,stderr_log,artifacts_created,artifacts_reused,blocker,claim_allowed
30,ruff_after_repairs,python3 -m ruff check certgen scripts tests,.,2026-08-12T14:45:00.422699Z,2026-08-12T14:45:00.485183Z,0.062116,1,FAIL,reports/icml2027/remaining_closure/command_logs/0030_ruff_after_repairs.stdout.log,reports/icml2027/remaining_closure/command_logs/0030_ruff_after_repairs.stderr.log,,,,False
31,ruff_after_unused_import_fix,python3 -m ruff check certgen scripts tests,.,2026-08-12T14:45:09.077229Z,2026-08-12T14:45:09.152068Z,0.074392,0,PASS,reports/icml2027/remaining_closure/command_logs/0031_ruff_after_unused_import_fix.stdout.log,reports/icml2027/remaining_closure/command_logs/0031_ruff_after_unused_import_fix.stderr.log,,,,False
32,changed_scope_mypy_after_repairs,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/generation/generate_cifar10_diffusers.py certgen/features/extract.py scripts/icml2027 tests/icml2027,.,2026-08-12T14:45:09.235522Z,2026-08-12T14:45:10.779135Z,1.543127,1,FAIL,reports/icml2027/remaining_closure/command_logs/0032_changed_scope_mypy_after_repairs.stdout.log,reports/icml2027/remaining_closure/command_logs/0032_changed_scope_mypy_after_repairs.stderr.log,,,,False
33,changed_scope_mypy_after_test_typing_fix,python3 -m mypy --follow-imports=skip certgen/icml2027 certgen/generation/generate_cifar10_diffusers.py certgen/features/extract.py scripts/icml2027 tests/icml2027,.,2026-08-12T14:45:29.591028Z,2026-08-12T14:45:29.934169Z,0.342512,0,PASS,reports/icml2027/remaining_closure/command_logs/0033_changed_scope_mypy_after_test_typing_fix.stdout.log,reports/icml2027/remaining_closure/command_logs/0033_changed_scope_mypy_after_test_typing_fix.stderr.log,,,,False
34,ruff_after_test_typing_fix,python3 -m ruff check certgen scripts tests,.,2026-08-12T14:45:30.020075Z,2026-08-12T14:45:30.086546Z,0.066023,0,PASS,reports/icml2027/remaining_closure/command_logs/0034_ruff_after_test_typing_fix.stdout.log,reports/icml2027/remaining_closure/command_logs/0034_ruff_after_test_typing_fix.stderr.log,,,,False
35,diff_check_after_repairs,git diff --check,.,2026-08-12T14:45:30.168409Z,2026-08-12T14:45:30.193595Z,0.024784,0,PASS,reports/icml2027/remaining_closure/command_logs/0035_diff_check_after_repairs.stdout.log,reports/icml2027/remaining_closure/command_logs/0035_diff_check_after_repairs.stderr.log,,,,False
36,corrected_path_cpu_rehearsals,python3 -m pytest -q tests/icml2027/test_remaining_closure.py tests/icml2027/test_final_closure.py tests/icml2027/test_notebook_stress.py tests/icml2027/test_r1_execution_contract_upgrades.py,.,2026-08-12T14:45:58.304754Z,2026-08-12T14:45:58.795102Z,0.489917,4,FAIL,reports/icml2027/remaining_closure/command_logs/0036_corrected_path_cpu_rehearsals.stdout.log,reports/icml2027/remaining_closure/command_logs/0036_corrected_path_cpu_rehearsals.stderr.log,,tests/icml2027/test_remaining_closure.py;artifacts/icml2027/final_closure_fixture/FULL_REHEARSAL_SUMMARY.json,,False
37,corrected_path_cpu_rehearsals_pass,python3 -m pytest -q tests/icml2027/test_remaining_closure.py tests/icml2027/test_final_closure.py tests/icml2027/test_notebooks_kaggle_stress.py,.,2026-08-12T14:46:16.359068Z,2026-08-12T14:46:20.587313Z,4.227362,0,PASS,reports/icml2027/remaining_closure/command_logs/0037_corrected_path_cpu_rehearsals_pass.stdout.log,reports/icml2027/remaining_closure/command_logs/0037_corrected_path_cpu_rehearsals_pass.stderr.log,,tests/icml2027/test_remaining_closure.py;artifacts/icml2027/final_closure_fixture/FULL_REHEARSAL_SUMMARY.json,,False
38,aggregate_actual_provenance_rehearsal,python3 -m pytest -q tests/icml2027/test_remaining_closure.py,.,2026-08-12T14:49:07.201314Z,2026-08-12T14:49:09.195974Z,1.993201,1,FAIL,reports/icml2027/remaining_closure/command_logs/0038_aggregate_actual_provenance_rehearsal.stdout.log,reports/icml2027/remaining_closure/command_logs/0038_aggregate_actual_provenance_rehearsal.stderr.log,,tests/icml2027/test_remaining_closure.py,,False
39,aggregate_actual_provenance_rehearsal_pass,python3 -m pytest -q tests/icml2027/test_remaining_closure.py,.,2026-08-12T14:49:32.245273Z,2026-08-12T14:49:34.821784Z,2.574927,1,FAIL,reports/icml2027/remaining_closure/command_logs/0039_aggregate_actual_provenance_rehearsal_pass.stdout.log,reports/icml2027/remaining_closure/command_logs/0039_aggregate_actual_provenance_rehearsal_pass.stderr.log,,tests/icml2027/test_remaining_closure.py,,False
