scenario,model_count,replicate_id,number_of_comparisons,resolved_edges,unresolved_edges,incorrect_edges,graph_density,transitive_reduction_edges,transitive_reduction_correct,cycles,connected_components,FWER_event,samples_consumed,sample_cost_units,cost_per_certified_edge,CPU_seconds,memory_peak_platform_units,pairwise_matrix_materialized,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
clustered_quality_tiers,100,1,4950,1442,3508,0,0.2913131313131313,1400,True,0,1,False,580928,580928.0,402.8626907073509,0.0707211249973625,44924928,False,True,True,True,False
heterogeneous_variance,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,8.841700037010014e-05,44924928,False,True,True,True,False
heterogeneous_variance,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.570800228975713e-05,44924928,False,True,True,True,False
heterogeneous_variance,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.0001749589864630252,44924928,False,True,True,True,False
heterogeneous_variance,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016774999676272273,44924928,False,True,True,True,False
heterogeneous_variance,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006418330012820661,44924928,False,True,True,True,False
heterogeneous_variance,10,1,45,1,44,0,0.022222222222222223,1,True,0,9,False,5760,5760.0,5760.0,0.0006442080193664879,44924928,False,True,True,True,False
heterogeneous_variance,20,0,190,44,146,0,0.23157894736842105,43,True,0,2,False,22784,22784.0,517.8181818181819,0.002648834022693336,44924928,False,True,True,True,False
heterogeneous_variance,20,1,190,40,150,0,0.21052631578947367,40,True,0,1,False,22864,22864.0,571.6,0.002624541986733675,44924928,False,True,True,True,False
heterogeneous_variance,50,0,1225,736,489,0,0.6008163265306122,305,True,0,1,False,111616,111616.0,151.65217391304347,0.018346791999647394,44924928,False,True,True,True,False
heterogeneous_variance,50,1,1225,737,488,0,0.6016326530612245,320,True,0,1,False,111696,111696.0,151.55495251017638,0.018207125016488135,44924928,False,True,True,True,False
heterogeneous_variance,100,0,4950,3857,1093,0,0.7791919191919192,837,True,0,1,False,363328,363328.0,94.19963702359347,0.09174904201063327,44941312,False,True,True,True,False
heterogeneous_variance,100,1,4950,3860,1090,0,0.7797979797979798,828,True,0,1,False,363008,363008.0,94.04352331606218,0.09104425000259653,45105152,False,True,True,True,False
heterogeneous_sample_cost,2,0,1,0,1,0,0.0,0,True,0,2,False,128,256.0,256.0,0.00010062500950880349,45105152,False,True,True,True,False
heterogeneous_sample_cost,2,1,1,0,1,0,0.0,0,True,0,2,False,128,256.0,256.0,4.675000673159957e-05,45105152,False,True,True,True,False
heterogeneous_sample_cost,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,3328.0,3328.0,0.00017287497757934034,45105152,False,True,True,True,False
heterogeneous_sample_cost,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,3328.0,3328.0,0.00016420800238847733,45105152,False,True,True,True,False
heterogeneous_sample_cost,10,0,45,1,44,0,0.022222222222222223,1,True,0,9,False,5760,14592.0,14592.0,0.0006450829969253391,45105152,False,True,True,True,False
heterogeneous_sample_cost,10,1,45,1,44,0,0.022222222222222223,1,True,0,9,False,5744,14560.0,14560.0,0.0006397910183295608,45105152,False,True,True,True,False
heterogeneous_sample_cost,20,0,190,67,123,0,0.3526315789473684,64,True,0,1,False,21632,54592.0,814.8059701492538,0.0026181249995715916,45105152,False,True,True,True,False
heterogeneous_sample_cost,20,1,190,65,125,0,0.34210526315789475,63,True,0,1,False,21616,54576.0,839.6307692307693,0.002607917005661875,45105152,False,True,True,True,False
heterogeneous_sample_cost,50,0,1225,823,402,0,0.6718367346938775,355,True,0,1,False,102960,258960.0,314.65370595382745,0.0183070829953067,45105152,False,True,True,True,False
heterogeneous_sample_cost,50,1,1225,826,399,0,0.6742857142857143,347,True,0,1,False,103072,258864.0,313.39467312348665,0.018225125008029863,45105152,False,True,True,True,False
heterogeneous_sample_cost,100,0,4950,4076,874,0,0.8234343434343434,870,True,0,1,False,340272,853904.0,209.49558390579,0.09397945899399929,45924352,False,True,True,True,False
heterogeneous_sample_cost,100,1,4950,4070,880,0,0.8222222222222222,871,True,0,1,False,340336,854320.0,209.9066339066339,0.09703433301183395,46219264,False,True,True,True,False
shared_reference_dependence,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,0.00017416602349840105,46235648,False,True,True,True,False
shared_reference_dependence,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,5.670799873769283e-05,46235648,False,True,True,True,False
shared_reference_dependence,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00021075000404380262,46235648,False,True,True,True,False
shared_reference_dependence,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00020754101569764316,46235648,False,True,True,True,False
shared_reference_dependence,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0008277909946627915,46235648,False,True,True,True,False
shared_reference_dependence,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.000873790995683521,46235648,False,True,True,True,False
shared_reference_dependence,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.003352583007654175,46235648,False,True,True,True,False
shared_reference_dependence,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0032339580066036433,46235648,False,True,True,True,False
shared_reference_dependence,50,0,1225,327,898,0,0.26693877551020406,321,True,0,1,False,144480,144480.0,441.8348623853211,0.021367874986026436,46235648,False,True,True,True,False
shared_reference_dependence,50,1,1225,373,852,0,0.30448979591836733,358,True,0,1,False,142320,142320.0,381.5549597855228,0.021441917022457346,46235648,False,True,True,True,False
shared_reference_dependence,100,0,4950,2909,2041,0,0.5876767676767677,1478,True,0,1,False,466976,466976.0,160.52801650051563,0.09853012498933822,46235648,False,True,True,True,False
shared_reference_dependence,100,1,4950,2802,2148,0,0.566060606060606,1510,True,0,1,False,471552,471552.0,168.29122055674517,0.09786637502838857,46235648,False,True,True,True,False
representation_specific_ordering,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,8.175001130439341e-05,46235648,False,True,True,True,False
representation_specific_ordering,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.2082974687218666e-05,46235648,False,True,True,True,False
representation_specific_ordering,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00017008298891596496,46235648,False,True,True,True,False
representation_specific_ordering,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016304198652505875,46235648,False,True,True,True,False
representation_specific_ordering,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006371249910444021,46235648,False,True,True,True,False
representation_specific_ordering,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006291660247370601,46235648,False,True,True,True,False
representation_specific_ordering,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.002555332990596071,46235648,False,True,True,True,False
representation_specific_ordering,20,1,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.0025768339983187616,46235648,False,True,True,True,False
representation_specific_ordering,50,0,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.016212416987400502,46235648,False,True,True,True,False
representation_specific_ordering,50,1,1225,0,1225,0,0.0,0,True,0,50,False,156800,156800.0,156800.0,0.016197332995943725,46235648,False,True,True,True,False
representation_specific_ordering,100,0,4950,19,4931,0,0.0038383838383838384,19,True,0,85,False,633584,633584.0,33346.52631578947,0.06523820897564292,46252032,False,True,True,True,False
representation_specific_ordering,100,1,4950,12,4938,0,0.0024242424242424242,12,True,0,88,False,633552,633552.0,52796.0,0.06501954200211912,46252032,False,True,True,True,False
representation_conflicts,2,0,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,4.387501394376159e-05,46252032,False,True,True,True,False
representation_conflicts,2,1,1,0,1,0,0.0,0,True,0,2,False,128,128.0,128.0,3.645799006335437e-05,46252032,False,True,True,True,False
representation_conflicts,5,0,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016783300088718534,46252032,False,True,True,True,False
representation_conflicts,5,1,10,0,10,0,0.0,0,True,0,5,False,1280,1280.0,1280.0,0.00016299998969770968,46252032,False,True,True,True,False
representation_conflicts,10,0,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006322499830275774,46252032,False,True,True,True,False
representation_conflicts,10,1,45,0,45,0,0.0,0,True,0,10,False,5760,5760.0,5760.0,0.0006321670080069453,46252032,False,True,True,True,False
representation_conflicts,20,0,190,0,190,0,0.0,0,True,0,20,False,24320,24320.0,24320.0,0.002559707994805649,46252032,False,True,True,True,False
