scenario,dimension,sample_budget,stream_units,replicates,paired_mmd_stream_mean,paired_mmd_between_replicate_sd,standardized_effect_descriptive,terminal_union_hoeffding_radius_alpha_0_025,fixed_n_bounded_mean_required_units_approx,correct_resolution_rate,correct_resolution_wilson_95,unresolved_fraction,unresolved_wilson_95,observed_stopping_median,observed_stopping_mean,observed_stopping_p90,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
anisotropy,16,500,250,3,-0.007967602366949135,0.005268377668147944,-1.5123445714836312,1.0707150468946334,1242489,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
anisotropy,16,2000,1000,3,-0.017991962033606444,0.009616497298953641,-1.8709475471452715,0.5800985044903669,243664,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
anisotropy,64,1000,500,1,0.0002367594146225347,,,0.7893807400890932,1407126050,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
anisotropy,64,10000,5000,1,-0.0027485184813226893,,,0.28087507534830775,10441195,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
anisotropy,256,500,250,3,0.0012297180648519147,0.0036479749397094,0.3370960834917015,1.0707150468946334,52159860,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
anisotropy,256,2000,1000,3,0.0013565655025864626,0.0013625656234670228,0.9955964536480136,0.5800985044903669,42861364,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
anisotropy,768,1000,500,1,-0.00018863352339732064,,,0.7893807400890932,2216714512,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
anisotropy,768,10000,5000,1,0.0005134195535194899,,,0.28087507534830775,299228330,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
anisotropy,2048,500,250,3,-0.0006896400988111663,0.0013326373173460733,-0.517500215425885,1.0707150468946334,165845048,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
anisotropy,2048,2000,1000,3,-2.2185356828244268e-05,0.0008394608241990394,-0.02642810264482817,0.5800985044903669,160256141316,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_10pct,16,500,250,3,-0.006821541129279519,0.01074772704243881,-0.6346961643465422,1.0707150468946334,1695051,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_10pct,16,2000,1000,3,-0.0006099781664201913,0.005802022239703581,-0.10513199384967445,0.5800985044903669,211991740,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_10pct,64,1000,500,1,0.0015412943653117142,,,0.7893807400890932,33202925,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_10pct,64,10000,5000,1,-0.0016146310557940257,,,0.28087507534830775,30255262,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_10pct,256,500,250,3,-0.00014136252849563635,0.0019430468145300768,-0.07275302243802328,1.0707150468946334,3947107084,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_10pct,256,2000,1000,3,-0.003450287982431875,0.000971028506142973,-3.553230374396299,0.5800985044903669,6625778,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_10pct,768,1000,500,1,0.0022268542764822884,,,0.7893807400890932,15906108,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_10pct,768,10000,5000,1,-0.0022596453234422346,,,0.28087507534830775,15447812,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_10pct,2048,500,250,3,-0.006756091523839324,0.004113162466289856,-1.642554015118551,1.0707150468946334,1728051,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_10pct,2048,2000,1000,3,-0.0018064475578747359,0.0006566047265745074,-2.751194873815383,0.5800985044903669,24171122,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_1pct,16,500,250,3,-0.002305744336119672,0.008792866154460812,-0.26222898149654167,1.0707150468946334,14836287,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_1pct,16,2000,1000,3,0.0015799911148571177,0.0015754943499266354,1.0028541929907218,0.5800985044903669,31596446,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_1pct,64,1000,500,1,0.0007349414737692505,,,0.7893807400890932,146029974,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_1pct,64,10000,5000,1,0.0007830155740849294,,,0.28087507534830775,128649090,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_1pct,256,500,250,3,0.0005097118486628117,0.0025549178135310237,0.199502248551144,1.0707150468946334,303597409,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_1pct,256,2000,1000,3,0.0009766032947603619,0.0026190128736136723,0.3728898412831626,0.5800985044903669,82701074,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_1pct,768,1000,500,1,3.9638010538744826e-05,,,0.7893807400890932,50202323791,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_1pct,768,10000,5000,1,-0.0004891535793416736,,,0.28087507534830775,329653011,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
