scenario,dimension,sample_budget,stream_units,replicates,paired_mmd_stream_mean,paired_mmd_between_replicate_sd,standardized_effect_descriptive,terminal_union_hoeffding_radius_alpha_0_025,fixed_n_bounded_mean_required_units_approx,correct_resolution_rate,correct_resolution_wilson_95,unresolved_fraction,unresolved_wilson_95,observed_stopping_median,observed_stopping_mean,observed_stopping_p90,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
contamination_1pct,2048,500,250,3,-0.0008325470553019513,0.0007151550199750598,-1.164149075442392,1.0707150468946334,113796772,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_1pct,2048,2000,1000,3,0.0004340650639945998,0.0010535677869516053,0.4119953830882817,0.5800985044903669,418637235,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_2pct,16,500,250,3,0.005910362501105254,0.012132525155904359,0.4871502366701415,1.0707150468946334,2257976,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_2pct,16,2000,1000,3,-0.007245170053877127,0.00585799375267317,-1.2368005770868138,0.5800985044903669,1502625,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_2pct,64,1000,500,1,0.006977526704053575,,,0.7893807400890932,1620111,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_2pct,64,10000,5000,1,0.001868664982625747,,,0.28087507534830775,22588356,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_2pct,256,500,250,3,-0.003135152572124815,0.003669411576519642,-0.8544019951826827,1.0707150468946334,8024725,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_2pct,256,2000,1000,3,-0.0021628877893116022,0.0006349143283947288,-3.40658210499059,0.5800985044903669,16860853,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_2pct,768,1000,500,1,-0.003021209144341315,,,0.7893807400890932,8641437,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_2pct,768,10000,5000,1,-0.0003724617986659444,,,0.28087507534830775,568570138,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_2pct,2048,500,250,3,-0.0018659149296325686,0.0005027986084752959,-3.711058261061689,1.0707150468946334,22654989,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_2pct,2048,2000,1000,3,-9.299667779689196e-06,0.0008426554929794166,-0.01103614449459995,0.5800985044903669,912037404026,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_5pct,16,500,250,3,-0.004004936732409966,0.0015061320022668621,-2.6590874680188596,1.0707150468946334,4917634,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_5pct,16,2000,1000,3,0.007187409051829696,0.0041718601572098635,1.722830771162912,0.5800985044903669,1526873,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_5pct,64,1000,500,1,0.011214267103242442,,,0.7893807400890932,627200,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_5pct,64,10000,5000,1,0.0001727628581083609,,,0.28087507534830775,2642693264,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_5pct,256,500,250,3,0.0017351728223210011,0.004756364152464988,0.36481076021518394,1.0707150468946334,26197633,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_5pct,256,2000,1000,3,-0.0015082924490045912,0.003087235504143258,-0.4885576260639562,0.5800985044903669,34671802,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
contamination_5pct,768,1000,500,1,-0.0016931770593866062,,,0.7893807400890932,27513306,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
contamination_5pct,768,10000,5000,1,-0.0003114060429300574,,,0.28087507534830775,813379919,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
contamination_5pct,2048,500,250,3,-0.00026715615198576165,0.0011845820350879315,-0.22552777610368763,1.0707150468946334,1105139647,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
contamination_5pct,2048,2000,1000,3,-0.0004280795018800998,0.00045976278299717893,-0.9310877646282354,0.5800985044903669,430426155,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
covariance_perturbation,16,500,250,3,0.015665831676785702,0.010201989917567388,1.5355662771053922,1.0707150468946334,321397,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
covariance_perturbation,16,2000,1000,3,0.006020365094936646,0.007055803937673746,0.8532500545815226,0.5800985044903669,2176216,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
covariance_perturbation,64,1000,500,1,0.009173841699889267,,,0.7893807400890932,937228,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
covariance_perturbation,64,10000,5000,1,-0.0008059545929041418,,,0.28087507534830775,121430105,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
covariance_perturbation,256,500,250,3,-0.002214162973109172,0.0023535442446301273,-0.9407781384017023,1.0707150468946334,16088975,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
covariance_perturbation,256,2000,1000,3,0.0012048546484455126,0.000643068580118741,1.8736021097828153,0.5800985044903669,54334817,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
covariance_perturbation,768,1000,500,1,0.00024555921120863057,,,0.7893807400890932,1308082269,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
covariance_perturbation,768,10000,5000,1,-0.000388858786763896,,,0.28087507534830775,521631350,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
covariance_perturbation,2048,500,250,3,0.0003454188779405463,0.00027925396993194523,1.236934529613762,1.0707150468946334,661082073,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
covariance_perturbation,2048,2000,1000,3,-0.0002881099608956189,0.000702650939419848,-0.4100328409629685,0.5800985044903669,950234887,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
dense_weak_high_dimensional_shift,16,500,250,3,-0.01225332117629726,0.01522603925592822,-0.8047609079640631,1.0707150468946334,525340,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
dense_weak_high_dimensional_shift,16,2000,1000,3,-0.0006867131719200584,0.007490899178781444,-0.09167299619586751,0.5800985044903669,167261799,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
dense_weak_high_dimensional_shift,64,1000,500,1,-2.5823518406769664e-05,,,0.7893807400890932,118281463788,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
dense_weak_high_dimensional_shift,64,10000,5000,1,-0.00263358037118375,,,0.28087507534830775,11372459,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
dense_weak_high_dimensional_shift,256,500,250,3,0.0008108081181185093,0.0006377744981464067,1.271308464786532,1.0707150468946334,119980687,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
dense_weak_high_dimensional_shift,256,2000,1000,3,-0.0019281485818376267,0.000611048565184453,-3.155475181020333,0.5800985044903669,21216148,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
dense_weak_high_dimensional_shift,768,1000,500,1,-0.0009651826554235739,,,0.7893807400890932,84669794,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
dense_weak_high_dimensional_shift,768,10000,5000,1,-0.0008296128254269943,,,0.28087507534830775,114603163,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
dense_weak_high_dimensional_shift,2048,500,250,3,-0.0007206836021401685,0.0012431570547852106,-0.5797204780893,1.0707150468946334,151865190,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
dense_weak_high_dimensional_shift,2048,2000,1000,3,-0.0014282279764677571,0.000777331241780181,-1.837347966610663,0.5800985044903669,38668066,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
heavy_tails,16,500,250,3,-0.01356665985753791,0.02855023291518014,-0.4751856104937248,1.0707150468946334,428551,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
heavy_tails,16,2000,1000,3,0.000611708876595576,0.009728685001415174,0.06287683037395027,0.5800985044903669,210793859,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
heavy_tails,64,1000,500,1,0.003876216978050366,,,0.7893807400890932,5249663,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
heavy_tails,64,10000,5000,1,-0.0002466913755936156,,,0.28087507534830775,1296103206,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
heavy_tails,256,500,250,3,-0.0007150490418446551,0.0035911671504739147,-0.199113272059835,1.0707150468946334,154268004,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
heavy_tails,256,2000,1000,3,0.0017658883344089783,0.0011205874435062041,1.575859469640043,0.5800985044903669,25294206,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
heavy_tails,768,1000,500,1,-0.0023208106459347614,,,0.7893807400890932,14644283,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
heavy_tails,768,10000,5000,1,0.00012280520474095517,,,0.28087507534830775,5230147911,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
heavy_tails,2048,500,250,3,-0.0001731947215751639,0.001362529478118584,-0.12711264185954763,1.0707150468946334,2629530510,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
heavy_tails,2048,2000,1000,3,-0.0001428754502501635,5.6003937424577645e-05,-2.5511679503352527,0.5800985044903669,3863957083,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
low_rank_manifold_shift,16,500,250,3,-0.10581376566300944,0.02594138793444074,-4.078955448737853,1.0707150468946334,7045,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
low_rank_manifold_shift,16,2000,1000,3,-0.09941022566351808,0.004686949194500681,-21.210007093774063,0.5800985044903669,7982,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
low_rank_manifold_shift,64,1000,500,1,-0.09215749687518945,,,0.7893807400890932,9288,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
low_rank_manifold_shift,64,10000,5000,1,-0.08718294737232511,,,0.28087507534830775,10378,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
low_rank_manifold_shift,256,500,250,3,-0.08287021723679412,0.004355671338304449,-19.02581962693571,1.0707150468946334,11486,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
low_rank_manifold_shift,256,2000,1000,3,-0.08525579963181452,0.004804279031830622,-17.745805159724178,0.5800985044903669,10852,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
low_rank_manifold_shift,768,1000,500,1,-0.05862501594181241,,,0.7893807400890932,22950,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
low_rank_manifold_shift,768,10000,5000,1,-0.06282750953837135,,,0.28087507534830775,19983,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
low_rank_manifold_shift,2048,500,250,3,-0.044537970307748566,0.01188154293172541,-3.748500557854809,1.0707150468946334,39764,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
low_rank_manifold_shift,2048,2000,1000,3,-0.06055697739599289,0.0031141882933577573,-19.445509292149957,0.5800985044903669,21509,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
mixture_alternative,16,500,250,3,-0.027827885716368767,0.01264299299745684,-2.201052054839103,1.0707150468946334,101857,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
mixture_alternative,16,2000,1000,3,-0.03699055487422945,0.005308198155311475,-6.968570839281133,0.5800985044903669,57646,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
mixture_alternative,64,1000,500,1,-0.03800805225736046,,,0.7893807400890932,54601,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
mixture_alternative,64,10000,5000,1,-0.028869268799188632,,,0.28087507534830775,94641,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
mixture_alternative,256,500,250,3,-0.03255760402486695,0.0066211889475203765,-4.917183950332624,1.0707150468946334,74412,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
mixture_alternative,256,2000,1000,3,-0.03088996755625042,0.0014455075436447264,-21.369634279710468,0.5800985044903669,82664,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
mixture_alternative,768,1000,500,1,-0.0353142530384847,,,0.7893807400890932,63249,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
mixture_alternative,768,10000,5000,1,-0.033114909931817794,,,0.28087507534830775,71929,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
mixture_alternative,2048,500,250,3,-0.0353158298749382,0.0029575442565278665,-11.940930316423634,1.0707150468946334,63243,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
mixture_alternative,2048,2000,1000,3,-0.03486202098029075,0.0019352824035711123,-18.013919268816284,0.5800985044903669,64900,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
mode_dropping,16,500,250,3,-0.08650504081576227,0.04422678310128142,-1.9559424120371054,1.0707150468946334,10541,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
mode_dropping,16,2000,1000,3,-0.05548163730173269,0.002292737356279154,-24.19886305327747,0.5800985044903669,25625,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
mode_dropping,64,1000,500,1,-0.04846731656386269,,,0.7893807400890932,33578,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
mode_dropping,64,10000,5000,1,-0.06489238834688385,,,0.28087507534830775,18731,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
mode_dropping,256,500,250,3,-0.06905880985295532,0.010776002154827461,-6.408574243094241,1.0707150468946334,16540,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
mode_dropping,256,2000,1000,3,-0.06668574157493816,0.002226975394962189,-29.944534513400136,0.5800985044903669,17738,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
mode_dropping,768,1000,500,1,-0.07291498841661016,,,0.7893807400890932,14836,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
mode_dropping,768,10000,5000,1,-0.06434282733384475,,,0.28087507534830775,19053,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
mode_dropping,2048,500,250,3,-0.07889301920236397,0.01689479851276087,-4.669663218698642,1.0707150468946334,12673,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
mode_dropping,2048,2000,1000,3,-0.0658804269352164,0.013806503712234526,-4.771695159639654,0.5800985044903669,18174,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
near_tie,16,500,250,3,0.0007148973835010968,0.008250901511179224,0.08664476027649531,1.0707150468946334,154333464,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
near_tie,16,2000,1000,3,-0.0030984543043236766,0.003241170584604881,-0.9559676738524386,0.5800985044903669,8215942,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
near_tie,64,1000,500,1,-0.0012672378307674718,,,0.7893807400890932,49116936,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",500.0,500.0,500.0,True,True,True,False
near_tie,64,10000,5000,1,0.0012893285686061918,,,0.28087507534830775,47448262,0.0,"[0.0, 0.7934506856227626]",1.0,"[0.20654931437723745, 1.0]",5000.0,5000.0,5000.0,True,True,True,False
near_tie,256,500,250,3,-0.0009370065300097308,0.001748112067682933,-0.5360105609543118,1.0707150468946334,89838457,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",250.0,250.0,250.0,True,True,True,False
near_tie,256,2000,1000,3,0.00020313024012866295,0.0019055551612068647,0.10659898189460566,0.5800985044903669,1911605865,0.0,"[0.0, 0.5614970317550454]",1.0,"[0.4385029682449546, 1.0]",1000.0,1000.0,1000.0,True,True,True,False
