scenario,dimension,gamma,frozen_confirmatory_gamma,replicates,mean_effect,between_replicate_effect_sd,power,power_wilson_95,mean_stopping_time,policy_status,synthetic_validation_only,not_real_generator_evidence,not_empirical_paper_evidence,claim_allowed
near_tie,768,0.125,False,25,-6.475591972765725e-05,0.0009912557046731197,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
near_tie,768,0.25,False,25,-0.00010249665357037394,0.0015437386751691044,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
near_tie,768,0.5,True,25,-0.0001282958711676038,0.0018725675766069316,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
near_tie,768,1.0,False,25,-0.00010023976577244836,0.0013791298244784868,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
near_tie,768,2.0,False,25,-3.034924306547016e-05,0.00037565984844914235,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,768,0.125,False,25,-0.000260215577386907,0.0007200858941293518,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,768,0.25,False,25,-0.0004064299005467399,0.0011231726565861867,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,768,0.5,True,25,-0.0004958792755814043,0.0013668160612790102,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
covariance_perturbation,768,1.0,False,25,-0.0003694820564292153,0.0010136285948019635,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
covariance_perturbation,768,2.0,False,25,-0.00010301481257780295,0.0002804383843991008,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
symmetric_multimodal_shift,768,0.125,False,25,-0.0007930615588712976,0.01205328727692467,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
symmetric_multimodal_shift,768,0.25,False,25,-0.006743782488839305,0.018967627254251048,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
symmetric_multimodal_shift,768,0.5,True,25,-0.023375529350796728,0.02400703436128339,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
symmetric_multimodal_shift,768,1.0,False,25,-0.051928165897092454,0.02098048688748224,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
symmetric_multimodal_shift,768,2.0,False,25,-0.07357902017445786,0.011040581040463744,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
mode_dropping,768,0.125,False,25,-0.00774874983087704,0.009718061018509411,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
mode_dropping,768,0.25,False,25,-0.025414859680993964,0.015308091848550616,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
mode_dropping,768,0.5,True,25,-0.064437353058736,0.01939969371181137,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
mode_dropping,768,1.0,False,25,-0.10453004648643788,0.016860189418518252,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
mode_dropping,768,2.0,False,25,-0.0793771708077578,0.008161921658814695,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
dense_weak_high_dimensional_shift,768,0.125,False,25,-0.0007061437631374464,0.000835106472261914,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
dense_weak_high_dimensional_shift,768,0.25,False,25,-0.0010981020611652479,0.0013007947557417939,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
dense_weak_high_dimensional_shift,768,0.5,True,25,-0.0013279779266997022,0.0015785185777303285,0.0,"[0.0, 0.13319225093904846]",500.0,FROZEN_CONFIRMATORY_UNCHANGED,True,True,True,False
dense_weak_high_dimensional_shift,768,1.0,False,25,-0.0009717858082732389,0.0011637457689766362,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
dense_weak_high_dimensional_shift,768,2.0,False,25,-0.0002609357539194956,0.0003179361541515514,0.0,"[0.0, 0.13319225093904846]",500.0,PROSPECTIVE_PLANNING_ONLY_NEW_STUDY_REQUIRED,True,True,True,False
